AAL.L
ABF.L
ADM.L
ADN.L
AGK.L
AHT.L
ANTO.L
ARM.L
AV.L
AZN.L
BA.L
BAB.L
BARC.L
BATS.L
BDEV.L
BLND.L
BLT.L
BNZL.L
BP.L
BRBY.L
BT-A.L
CCH.L
CCL.L
CNA.L
CPG.L
CPI.L
CRH.L
DC.L
DCC.L
DGE.L
DLG.L
EXPN.L
EZJ.L
FRES.L
GFS.L
GKN.L
GLEN.L
GSK.L
HL.L
HMSO.L
HSBA.L
IAG.L
IHG.L
III.L
IMB.L
IMI.L
IMT.L
INTU.L
ISAT.L
ITRK.L
ITV.L
JMAT.L
KGF.L
LAND.L
LGEN.L
LLOY.L
LSE.L
MERL.L
MGGT.L
MKS.L
MNDI.L
MRW.L
NG.L
NXT.L
OML.L
PFC.L
PFG.L
PPB.L
PRU.L
PSN.L
PSON.L
RB.L
RBS.L
RDSA.L
RDSB.L
REL.L
REX.L
RIO.L
RMG.L
RR.L
RRS.L
RSA.L
SAB.L
SBRY.L
SDR.L
SGE.L
SHP.L
SKY.L
SL.L
SMIN.L
SN.L
SPD.L
SSE.L
STAN.L
STJ.L
SVT.L
TLW.L
TPK.L
TSCO.L
TW.L
ULVR.L
UU.L
VOD.L
WEIR.L
WOS.L
WPP.L
WTB.L
ABC.L
AN.L
ASHM.L
BBA.L
BKG.L
BYG.L
BVIC.L
CCC.L
CHG.L
DMGT.L
DEB.L
DLN.L
DOM.L
DRX.L
DSG.L
ECM.L
ELM.L
ETI.L
EVR.L
FXPO.L
FGP.L
GNS.L
HFD.L
HIK.L
HCM.L
HWDN.L
IAP.L
INCH.L
INF.L
JDW.L
JD.L
KAZ.L
KBT.L
LAM.L
MCRO.L
MLD.L
MONY.L
MPE.L
NEX.L
OCDO.L
PNN.L
POLY.L
QQ.L
RNK.L
RTO.L
RMV.L
SVS.L
SHB.L
SHI.L
TALK.L
VEC.L
VSVS.L
YOU.L
ZYT.L
